Key,Topic,Substance,Class,Document
70_1p-lsd,70,1p-lsd,Serotonergic psychedelics,loop of bad thoughts and engender a terrible trip . but at this point and time i felt the weight of paranoia and anxiety lift from my shoulders and allow me
282_1p-lsd,282,1p-lsd,Serotonergic psychedelics,began to feel connected to everything in the universe and a calming sensation of both infinity and impermanence fully accepting the notion of death and believing that existence would continue in
147_1p-lsd,147,1p-lsd,Serotonergic psychedelics,began to cry again at how amazing this experience was . at that moment in time i was completely dissociated from my real body . nothing else mattered or existed i
19_1p-lsd,19,1p-lsd,Serotonergic psychedelics,. feel physically tired but still very refreshed . sleep cycle fitbit app sleep heart rate data if anything it seems to have improved my sleep usually in like quality range
105_1p-lsd,105,1p-lsd,Serotonergic psychedelics,nothing special except that i become a model driver i have no need to drive faster than the speed limits . very weird effect maybe because of better impulse control t
227_1p-lsd,227,1p-lsd,Serotonergic psychedelics,the geometric patterns everywhere i looked . i tried to not look at them too long because i felt these black holes were calling me in and i was honestly just
73_1p-lsd,73,1p-lsd,Serotonergic psychedelics,mind from my actions and actions of i was still convinced of my powers over time and space so i tried giving one of my an orgasm . at the placeholder
100_1p-lsd,100,1p-lsd,Serotonergic psychedelics,gaps awash with swirling fluxes of color . i lay on a pathway and gazed longer into the sky focusing on the visual aspect of the the clouds forming into ORG
107_1p-lsd,107,1p-lsd,Serotonergic psychedelics,. so when i heard about the potential healing properties of these substances i was fast forward DATE DATE DATE DATE and i had been trying out magic mushrooms or rather
247_1p-lsd,247,1p-lsd,Serotonergic psychedelics,unsavory locals began to mill around us after this and we left in quite a hurry after having finally smoked . i left my bag of weed though which on a
192_1p-lsd,192,1p-lsd,Serotonergic psychedelics,oddly enough this train journey i was so used to felt unfamiliar it took me longer than usual to recognise where we were along the track and i tell if it
169_1p-lsd,169,1p-lsd,Serotonergic psychedelics,college my friends and family are all turning against me i on probation facing jail time thousands of dollars in fines but none of this mattered at all all of my
219_1p-lsd,219,1p-lsd,Serotonergic psychedelics,be a fucking great festival drug fun moving my arms round the tracers stay so long it kind of looks like i have arms . it is that colourful or anything
126_1p-lsd,126,1p-lsd,Serotonergic psychedelics,crab god took two and then went off onto the journey . i was quite slowly ambling up the path tossing over the odd stone here or there and testing whether
80_1p-lsd,80,1p-lsd,Serotonergic psychedelics,painting sculpture architecture have the same task they are trying to discern sacred geometry . period . read that sentence again if you must . every artistic experiment it became clear
40_1p-lsd,40,1p-lsd,Serotonergic psychedelics,this make it i messaged my friend a lot repeating phrases such as freaked and long has it . i also spoke to some other people and each conversation was in
167_1p-lsd,167,1p-lsd,Serotonergic psychedelics,a trip . the following is a summary of my experiences with lsd over a period of DATE DATE DATE . this summary comprises four trips . this summary comprises four
115_1p-lsd,115,1p-lsd,Serotonergic psychedelics,tripping this placeholder placing the tabs after returning home so that i would have enough time to shower and eat breakfast . this placeholder around my significant other was not home
30_1p-lsd,30,1p-lsd,Serotonergic psychedelics,hours since i had taken the acid . i was both amazed that so much time had passed and also pretty sure that more time had passed . the sun also
227_1p-lsd,227,1p-lsd,Serotonergic psychedelics,i was definitely scared at some points . the geometic patterns would spin outwards so fast that a hole in the middle like there were literally black holes being ripped out
111_1p-lsd,111,1p-lsd,Serotonergic psychedelics,interesting . eventually decided i had to settle and sleep though so stuck on adventure time . the first episode was beautiful and the next episode was terrifying . i mean
17_1p-lsd,17,1p-lsd,Serotonergic psychedelics,very low in pitch . the cars driving past on a busy road seem to slow to almost walking speed the sound of their engines becomes slowed and very low in
172_1p-lsd,172,1p-lsd,Serotonergic psychedelics,might have been . this was around so by now i was in control and slowly coming down from the trip . acid always leaves me way more empathic for DATE
146_1p-lsd,146,1p-lsd,Serotonergic psychedelics,it an actual getaway from reality for a few moments that seem to last so long torturous and unbearable . you think you never be able to get back . you
43_1p-lsd,43,1p-lsd,Serotonergic psychedelics,up as a flashing in my periphery abstract forms creeping in from the side and slowly bleeding their way into my entire field of vision . there a twisting in my
173_1p-lsd,173,1p-lsd,Serotonergic psychedelics,hours later on an empty stomach . as others have noted this stuff is very slow on the hours after my first dose i still felt no changes at all .
164_1p-lsd,164,1p-lsd,Serotonergic psychedelics,she was lovely though she do anything malicious whatsoever and i could see how very quickly things could spiral out into a bad trip even this late after taking the dose
57_1p-lsd,57,1p-lsd,Serotonergic psychedelics,start easy min pace . but i feel like it too easy . i go fast . and faster . until i almost sprinting . i end up running a mile
68_1p-lsd,68,1p-lsd,Serotonergic psychedelics,out of my ego and given a view of what reality really was . an endless journey towards infinity in every possible direction dimension and form . i realised that the
115_1p-lsd,115,1p-lsd,Serotonergic psychedelics,had the last placeholder we took tabs i just felt less connected to myself . time seemed to stretch out and minutes went by in what felt like hours probably not
111_1p-lsd,111,1p-lsd,Serotonergic psychedelics,put me back in a really good place with some visuals again and watched adventure time for an t hours we shut off adventure time as it was not holding our
61_1p-lsd,61,1p-lsd,Serotonergic psychedelics,welcomed him in and offered him a cup of tea . i debated exactly how long i should leave the tea bag in for the socially acceptable cup of tea and
11_1p-lsd,11,1p-lsd,Serotonergic psychedelics,in my field of view did this . after some placeholder i looked at the clock just to see how much time went by and then i saw it i had
52_1p-lsd,52,1p-lsd,Serotonergic psychedelics,taken each we started to watch samsara but it was a little bit of a slow movie for the come definite effects somewhat larger headspace we decided to change the movie
115_1p-lsd,115,1p-lsd,Serotonergic psychedelics,had only been about hours since i dropped my tabs but it felt like much longer . i also noted that the body load felt really hard on my knees .
88_1p-lsd,88,1p-lsd,Serotonergic psychedelics,them in the mail as i returned home from college . i decided to start slow because i know hallucinogens are a very powerful teacher and tool that need to be
9_1p-lsd,9,1p-lsd,Serotonergic psychedelics,began swirling around me . the walls and ceiling still moved and shifted but as time went on the visuals that seemed to affect physical objects seceded to the more distracting
95_1p-lsd,95,1p-lsd,Serotonergic psychedelics,was destined to forget that i was in a spiral of existence experiencing moments for eternity with no hope of an end or i would occasionally look at the other people
