,Topic Nr,Topic,Substance,Class,Document
9712,0,000 - colors - patterns - fast,_ DMT (Own graph & topics),Serotonergic psychedelics,"...out of place . it was so deep and so intricate and things changed so fast that i bring a single image back . i describe what it looks like .... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=104016#:~:text=out%20of%20place.,it%20looks%20like.>URL</a>)"
9718,0,000 - colors - patterns - fast,_ DMT (Own graph & topics),Serotonergic psychedelics,"...symbology hubbard i am seeing a great green speckled dome , a dome changing very rapidly extremely beautiful , a valve of colour . image and time are faster than lsd... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=78447#:~:text=symbology%20hubbard%20I,faster%20than%20lsd>URL</a>)"
9719,0,000 - colors - patterns - fast,_ DMT (Own graph & topics),Serotonergic psychedelics,"...fish skeleton . beautiful streams of colour , very friendly . a pull sideways in time towards back from back of head a pull backwards not imaginary as if a wind... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=78447#:~:text=fish%20skeleton.%20beautiful,if%20a%20wind>URL</a>)"
9720,0,000 - colors - patterns - fast,_ DMT (Own graph & topics),Serotonergic psychedelics,...a journey to reality . spoke again regarding a shallow saucer like dome flying so fast . i could get PERSON is very relaxed and pictures are standing out so clearly...- TBS:1.0  (NO URL)
9721,0,000 - colors - patterns - fast,_ DMT (Own graph & topics),Serotonergic psychedelics,...easily made . emphasis on letting go mentioned by PERSON . this is in a faster time than the other no blurring of edges of objects like in minutes injection cc...- TBS:1.0  (NO URL)
9722,0,000 - colors - patterns - fast,_ DMT (Own graph & topics),Serotonergic psychedelics,"...of basic colors beneath me green , blue and i am suddenly launched , no longer in the physical world . my field of view for a moment is a white... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=109959#:~:text=of%20basic%20colors,is%20a%20white>URL</a>)"
9723,0,000 - colors - patterns - fast,_ DMT (Own graph & topics),Serotonergic psychedelics,"...in color . outlines building upon outlines , crashing into each other . much more quickly than ever before . much more intense . the first hit was a cloud i... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=75162#:~:text=in%20color.%20outlines,a%20cloud%20i>URL</a>)"
9730,0,000 - colors - patterns - fast,_ DMT (Own graph & topics),Serotonergic psychedelics,"...with the same bands of color and alien characters as described earlier . the bug extended its proboscis into my being , and i could see characters flowing along it towards... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=95475#:~:text=with%20the%20same,along%20it%20towards>URL</a>)"
9733,0,000 - colors - patterns - fast,_ DMT (Own graph & topics),Serotonergic psychedelics,"...fluorescence like red and green almost like that movie tron but they kept fading really fast so i kept hitting the pen as i wanted to join them . they were... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=115790#:~:text=fluorescence%20like%20red,them.%20they%20were>URL</a>)"
9743,0,000 - colors - patterns - fast,_ DMT (Own graph & topics),Serotonergic psychedelics,"...with a dense blanket of tropical foliage . they rise to nearly in just a short distance from the sea . PLACEHOLDER PLACEHOLDER PLACEHOLDER of my visit these mountains were even... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=1845#:~:text=with%20a%20dense,mountains%20were%20even>URL</a>)"
