Key,Topic,Substance,Class,Document
52 1p-lsd,52 - movie - film - movies,1p-lsd,Serotonergic psychedelics,taken each we started to watch samsara but it was a little bit of a slow movie for the come definite effects somewhat larger headspace we decided to change the movie
52 1p-lsd,52 - movie - film - movies,1p-lsd,Serotonergic psychedelics,movie theatre and started walking out of the plaza down a sidewalk looking at people pass by and go about their lives in the dark . i felt as though i
52 25i-nbome,52 - movie - film - movies,25i-nbome,Serotonergic psychedelics,some tea and started the movie titanic . i chose this one because it a long movie . if i could just take my mind off of these bad feelings i
52 25i-nbome,52 - movie - film - movies,25i-nbome,Serotonergic psychedelics,much of the dialogue or plot and parts of the movie seemed to be in slow motion or in fast PERSON and i both were totally geeking out and our friend
52 25i-nbome,52 - movie - film - movies,25i-nbome,Serotonergic psychedelics,reality . the movie to me as i was lost in the happiness of each short scene shot with a long shot which was either followed by or narrating a depressing
52 2c-b,52 - movie - film - movies,2c-b,Serotonergic psychedelics,was very visually stimulating and easy to process . i felt as if i was quicker to identify themes and symbolism during the movie and occasionally dwelled on the ideas and
52 2c-b,52 - movie - film - movies,2c-b,Serotonergic psychedelics,jurassic park movies . we noticed right as someone was about to be eaten and quickly turned it off and left . i was really feeling the coldness and darkness and
52 2c-b,52 - movie - film - movies,2c-b,Serotonergic psychedelics,telling PERSON i felt queasy . he thought i meant the peak and said worry pass it always finally i told him that the movie itself was making me queasy and
52 2c-c,52 - movie - film - movies,2c-c,Serotonergic psychedelics,began and had no effect on the viewing of the movie . the final ending time was making the duration hours . i finished up the rest of my evening in
52 2c-c,52 - movie - film - movies,2c-c,Serotonergic psychedelics,of that prickly was still noticeable as the previews and opening credits rolled . it quickly faded into nothing as the actual movie began and had no effect on the viewing
52 2c-e,52 - movie - film - movies,2c-e,Serotonergic psychedelics,during the evening and at points it felt like it was a full hour movie long so many thoughts and feelings running through me and so much happening during these short
52 2c-e,52 - movie - film - movies,2c-e,Serotonergic psychedelics,brought to me . it was simply great and it felt like a lot of time was going by watching the i took a break from the movie and text b
52 2c-e,52 - movie - film - movies,2c-e,Serotonergic psychedelics,to get into the movie before the got into me . the movie seemed unbelievable long like it would never end . but i was entranced by it none the less
52 2c-e,52 - movie - film - movies,2c-e,Serotonergic psychedelics,when you think about them they are well odd . i spent a lot of time analysizing the movie as i watched . why is the movie so popular what does
52 2c-i,52 - movie - film - movies,2c-i,Serotonergic psychedelics,extremely intense walking difficult . start watching yellow submarine . the movie is ridiculous . time becomes meaningless the movie becomes one with the physical world . i unsure of when
52 2c-i,52 - movie - film - movies,2c-i,Serotonergic psychedelics,a great movie and stands on its own without any porn . PERSON is a long movie about hours . i watched it once and then spent another hour reviewing my
52 2c-i,52 - movie - film - movies,2c-i,Serotonergic psychedelics,is what i would compare it to . the movie ended everyone got up half passed out from the weed and went home i said i was going to go home
52 2c-i,52 - movie - film - movies,2c-i,Serotonergic psychedelics,it but it was at least a few t i think this is around peaking time for me . the movie is amazingly intense and scary . i feel as if
52 2c-t-7,52 - movie - film - movies,2c-t-7,Serotonergic psychedelics,on the table and top of the television and the posters shimmered and warped in time with the music from the movie . after the movie was finished we sat and
52 4-aco-dmt,52 - movie - film - movies,4-aco-dmt,Serotonergic psychedelics,or so and i forgot all about the movie . or i lost perception of time an could put words together to me a sentence . meanwhile my friend tells me
52 4-aco-dmt,52 - movie - film - movies,4-aco-dmt,Serotonergic psychedelics,did understand anything but i felt like everyone in the movie was tripping too . time was moving very slowly at this point when i felt i watched for an hour
52 4-ho-dipt,52 - movie - film - movies,4-ho-dipt,Serotonergic psychedelics,working started watching a movie in stead PERSON ' . it a fairly complex but slow movie and i dozed off half way through the movie . until then i had
52 4-ho-dipt,52 - movie - film - movies,4-ho-dipt,Serotonergic psychedelics,and the characters in the movie . i also did notice the effect waning very rapidly . we went down stairs and smoked and discussed the possibility of a agreed and
52 4-ho-mipt,52 - movie - film - movies,4-ho-mipt,Serotonergic psychedelics,the rest of the night amused fully by the movie myself and and fell asleep shortly after it ended . i was amazed at the relative lack of visual distortion provided
52 4-ho-mipt,52 - movie - film - movies,4-ho-mipt,Serotonergic psychedelics,was just a film . a mediocre film . the credits have rolled and it time to change the channel . this pisses me off but to each his own .
52 5-meo-dipt,52 - movie - film - movies,5-meo-dipt,Serotonergic psychedelics,i rented ' a fistful of dollars ' at about and had a very nice time watching it . i was high in the typical foxy way some visual ' interesting
