,Topic Nr,Topic,Substance,Class,Document
8708,0,000 - life - things - longer,amitriptyline,Antidepressants / antipsychotics,"...only worsens the symptoms of depression and anxiety . however , it is a great timeline of my experience physical condition history of mild traumatic brain rating of psychosocial condition out... - TBS:0.883  (<a href=https://erowid.org/experiences/exp.php?ID=51505#:~:text=only%20worsens%20the,psychosocial%20condition%20out>URL</a>)"
8609,0,000 - life - things - longer,bupropion,Antidepressants / antipsychotics,"...was very indifferent emotionally , also feeling empty in that department as well . as time when on , maybe an hour , i started to feel pretty bad , like... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=42830#:~:text=was%20very%20indifferent,pretty%20bad,%20like>URL</a>)"
8677,0,000 - life - things - longer,bupropion,Antidepressants / antipsychotics,"...looking forward to things in my near future and whatnot , and then the pain quickly returns to the front of my mind . with it comes dysphoria which i really... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=55685#:~:text=looking%20forward%20to,which%20I%20really>URL</a>)"
8700,0,000 - life - things - longer,bupropion,Antidepressants / antipsychotics,"...i notice there are no thoughts of impending doom about starting school again after the long DATE break usually i find myself feeling , fuck . school soon . but i... - TBS:0.922  (<a href=https://erowid.org/experiences/exp.php?ID=49536#:~:text=i%20notice%20there,soon.%20but%20i>URL</a>)"
9865,0,000 - time - eternity - reality,dmt,Serotonergic psychedelics,"...it was like being in an alternate reality . a real place in space and time just outside our own . it feel like a state of mind at all .... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=75162#:~:text=it%20was%20like,mind%20at%20all.>URL</a>)"
9866,0,000 - time - eternity - reality,dmt,Serotonergic psychedelics,"...are . that without me , you and everyone and everything else in existence that infinity be infinite . this is why of the utmost importance that we show up as... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=115425#:~:text=are.%20that%20without,show%20up%20as>URL</a>)"
9868,0,000 - time - eternity - reality,dmt,Serotonergic psychedelics,"...i was leaving my physical body . all of the sudden my existence as no longer only myself in the present , but also the past and the future . i... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=107417#:~:text=i%20was%20leaving,the%20future.%20i>URL</a>)"
9875,0,000 - time - eternity - reality,dmt,Serotonergic psychedelics,"...universal connection of the soul , mind , and body , to the universe and time . it is an experience that liberates the mind into a new state of thought... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=65093#:~:text=universal%20connection%20of,state%20of%20thought>URL</a>)"
9876,0,000 - time - eternity - reality,dmt,Serotonergic psychedelics,"...of death and love , the true masters of this world . i was no longer myself , i did exist because i was everything . just as quickly as i... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=101112#:~:text=of%20death%20and,quickly%20as%20i>URL</a>)"
9877,0,000 - time - eternity - reality,dmt,Serotonergic psychedelics,"...about physics , dimensions , quantum mechanics which is quite a bit but i focus long enough to piece together what i was seeing . at this point , i realized... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=98191#:~:text=about%20physics,%20dimensions,,point,%20I%20realized>URL</a>)"
9879,0,000 - time - eternity - reality,dmt,Serotonergic psychedelics,"...absolutely no regrets about what done . i feel privileged to have lived in a time and place where i had the opportunity to explore the limits of my own consciousness... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=100953#:~:text=absolutely%20no%20regrets,my%20own%20consciousness>URL</a>)"
9882,0,000 - time - eternity - reality,dmt,Serotonergic psychedelics,"...consciousness to return to my physical body , but the entities wanted me to stay longer . i fought the trip , which good but necessary for me to feel normal... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=97840#:~:text=consciousness%20to%20return,to%20feel%20normal>URL</a>)"
9885,0,000 - time - eternity - reality,dmt,Serotonergic psychedelics,"..., and infinitely . and simultaneously i the ground and foundation for all forms in infinity was also imbued within and manifested as all forms in the totality of myself .... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=115425#:~:text=,%20and%20infinitely.,totality%20of%20myself.>URL</a>)"
9886,0,000 - time - eternity - reality,dmt,Serotonergic psychedelics,".... there was never a , there was never a human organism who experienced a long spiritual journey of awakening . there was only the awareness of the totality of all... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=115425#:~:text=.%20there%20was,totality%20of%20all>URL</a>)"
8612,0,000 - life - things - longer,hypericum perforatum,Antidepressants / antipsychotics,"...take a step back , or as though i have a moment to relax and steady myself so i can choose not to feel sad , in a small i went... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=95281#:~:text=take%20a%20step,small%20I%20went>URL</a>)"
8614,0,000 - life - things - longer,hypericum perforatum,Antidepressants / antipsychotics,"...i flipping out about normal , everyday nuisances , the normal , everyday joys no longer seemed to bring me pleasure . i say i was a zombie , but i... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=81600#:~:text=i%20flipping%20out,zombie,%20but%20i>URL</a>)"
8615,0,000 - life - things - longer,hypericum perforatum,Antidepressants / antipsychotics,"...that i need at this point in my life . it not that i no longer dealing with them but that it helping me logically think through them and come to... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=101687#:~:text=that%20I%20need,and%20come%20to>URL</a>)"
8761,0,000 - time - reality - universe,lsd,Serotonergic psychedelics,"..., into a far beyond , the reach of lose the plot , misplace your endless thoughts of human friends are warped , try not to breed the thought , feed... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=66753#:~:text=,%20into%20a,the%20thought,%20feed>URL</a>)"
8762,0,000 - time - reality - universe,lsd,Serotonergic psychedelics,"...progress towards an understanding or acceptance of each other views . this is about the time i entered into a very real , and very scary i am shivering thinking about... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=74344#:~:text=progress%20towards%20an,shivering%20thinking%20about>URL</a>)"
8763,0,000 - time - reality - universe,lsd,Serotonergic psychedelics,"...what they say , i am a very old soul . i have lived many long and full reincarnations on this spirit so my past lives happily look like nothing less... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=109320#:~:text=what%20they%20say,,like%20nothing%20less>URL</a>)"
8765,0,000 - time - reality - universe,lsd,Serotonergic psychedelics,"...eons and eons a bit of refining happened . over DATE DATE DATE , where time measurements as we define them are so insignificant that i even bother to state them... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=20047#:~:text=eons%20and%20eons,to%20state%20them>URL</a>)"
8766,0,000 - time - reality - universe,lsd,Serotonergic psychedelics,"...actually felt like i relived my life , i remembered a lot of it , time was slowed down for me i reminisced about my life and realized it was all... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=20047#:~:text=actually%20felt%20like,it%20was%20all>URL</a>)"
8768,0,000 - time - reality - universe,lsd,Serotonergic psychedelics,"...answer . then i thought about what a sick joke being stuck in existence for eternity was and asked x and y why . why had they done this to me... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=20047#:~:text=answer.%20then%20I,this%20to%20me>URL</a>)"
8769,0,000 - time - reality - universe,lsd,Serotonergic psychedelics,"...maybe sitting in the zen meditation type of way was the only way to endure eternity , and kept trying to sit , which was always followed by more yelling .... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=20047#:~:text=maybe%20sitting%20in,by%20more%20yelling.>URL</a>)"
8771,0,000 - time - reality - universe,lsd,Serotonergic psychedelics,".... i realized that every atom i was made up of had been going though time , and had been in space for ever as far as i knew and would... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=20047#:~:text=.%20I%20realized,knew%20and%20would>URL</a>)"
8772,0,000 - time - reality - universe,lsd,Serotonergic psychedelics,"...or not . i think at that point i truly understood kantian idealism . for time and space made a lot more sense to me . i realized that every atom... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=20047#:~:text=or%20not.%20I,that%20every%20atom>URL</a>)"
8774,0,000 - time - reality - universe,lsd,Serotonergic psychedelics,"...the catch was that i was certain i never would , so spiral off into eternity with no hope of ever knowing why we were there the sad thing is that... - TBS:1.0  (<a href=https://erowid.org/experiences/exp.php?ID=20047#:~:text=the%20catch%20was,thing%20is%20that>URL</a>)"
