,Key,Topic,Substance,Class,Document
0,218_lsd,218,lsd,Serotonergic psychedelics,. if the reader is seeking out the ' information regarding acid as in dosage time frame and main hallucinations this is not the report to read . what i have
1,10_2c-d,10,2c-d,Serotonergic psychedelics,minutes seem like nothing now but when you counting seconds it can seem like an eternity my conclusion is that it is worth the minutes of to get to a sober
2,76_echinopsis pachanoi,76,echinopsis pachanoi,Serotonergic psychedelics,mescaline has become frustratingly hard to find DATE DATE only surfacing in DATE DATE DATE period every to months . so DATE DATE i settled for the disgusting cactus yes i
3,63_amphetamine,63,amphetamine,Stimulants,recreational aspect of adderall i tried telling my parents that i taken it for a long long time throughout high school and it helps me . they were going to send
4,159_mdma,159,mdma,Entactogens,keep going on living this lifestyle forever so we decided to end out raver days short . now this put me back on good terms with my parents as they knew
5,107_psilocybin mushrooms,107,psilocybin mushrooms,Serotonergic psychedelics,to find them and when i did it could not have been at a worse time . i had picked up the shrooms DATE DATE before i went to college a
6,283_mdma,283,mdma,Entactogens,not moving . i brought this to the attention of k and m and we quickly moved him to the bathroom . there all of us aside from a who just
7,18_mdma,18,mdma,Entactogens,it was cut but once i snorted it i instantly felt up . no wait periods or nothing . i stayed up all night and the night before i got the
8,206_2c-d,206,2c-d,Serotonergic psychedelics,my bowels that i associate with stimulants though i do feel particularly this is building quickly . i find myself staring at a spot as i get absorbed in a thought
9,243_lsd,243,lsd,Serotonergic psychedelics,love molly me and my friends would always snort the shit as it hit us faster and gave us more of a tweaky feeling and i liked the tweaky meth was
10,87_amphetamine,87,amphetamine,Stimulants,spent and feeling a lot less i retreated to my room and things went downhill fast . i began feeling very depressed and actually really distressed also . my heart felt
11,149_lsd,149,lsd,Serotonergic psychedelics,of partying when i was . my husband was going in the army and the time would soon come where i had to put aside my old ways and become a
12,26_amphetamine,26,amphetamine,Stimulants,the night i ca stop speaking a million words per minute and my thoughts no longer become coherent to everyone else . i love the state i am in however in
13,98_myristica spp.,98,myristica spp.,Stimulants,afternoon i was in the same place doing the same thing i am now wasting time fucking around on the internet . i stumbled across nutmeg and did some research .
14,161_cocaine,161,cocaine,Stimulants,prolong the night . asking the others to still indulge . the conversations are no longer flowing swimmingly . it is obvious the highs after each line are not lasting as
